SATELLITE NAME,US SATELLITE NUMBER,BREAKUP DATE,DEBRIS CATALOGED,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,Show,Message
NOAA 3 R/B,6921,12/28/1973,220,1510,1500,102.1,PROPULSION,DELTA SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
LANDSAT 1 R/B,6127,5/22/1975,244,910,635,98.3,PROPULSION,DELTA SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
NOAA 4 R/B,7532,8/20/1975,185,1460,1445,101.7,PROPULSION,DELTA SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
LANDSAT 2 R/B,7616,2/9/1976,207,915,740,97.8,PROPULSION,DELTA SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
HIMAWARI 1 R/B,10144,7/14/1977,177,2025,535,29,PROPULSION,DELTA SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
NOAA 5 R/B,9063,12/24/1977,184,1520,1505,102,PROPULSION,DELTA SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
LANDSAT 3 R/B,10704,1/27/1981,248,910,900,98.8,PROPULSION,DELTA SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
WESTAR 6 R/B,14694,2/3/1984,14,310,305,28.5,PROPULSION,PAM-D UPPER STAGE,TRUE,PROPULSION SYSTEM FAILURE
SPOT 1 R/B,16615,11/13/1986,498,835,805,98.7,PROPULSION,ARIANE 1 FINAL STAGE,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 1045 R/B,11087,5/9/1988,42,1705,1685,82.6,PROPULSION,TSYKLON THIRD STAGE,TRUE,PROPULSION SYSTEM FAILURE
FENGYUN 1-2 R/B,20791,10/4/1990,103,895,880,98.9,PROPULSION,CZ-4 FINAL STAGE,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 2125-32 R/B,21108,3/5/1991,112,1725,1460,74,PROPULSION,COSMOS SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
NIMBUS 6 R/B,7946,5/1/1991,307,1105,1095,99.6,PROPULSION,DELTA SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 1603 ULLAGE MOTOR,15338,9/5/1992,23,845,835,66.6,PROPULSION,PROTON-K BLOCK DM SOZ,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 2227 R/B,22285,12/26/1992,279,855,845,71,PROPULSION,ZENIT-2 SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 2237 R/B,22566,3/28/1993,104,850,840,71,PROPULSION,ZENIT-2 SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
STEP II R/B,23106,6/3/1996,754,820,585,82,PROPULSION,PEGASUS HAPS,TRUE,PROPULSION SYSTEM FAILURE
METEOR 2-16 R/B,18313,2/15/1998,108,960,940,82.6,PROPULSION,TSYKLON THIRD STAGE,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 2053 R/B,20390,4/18/1999,26,485,475,73.5,PROPULSION,TSYKLON THIRD STAGE,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 2157-62 R/B,21734,10/9/1999,40,1485,1410,82.6,PROPULSION,TSYKLON THIRD STAGE,TRUE,PROPULSION SYSTEM FAILURE
CBERS 1/SACI 1 R/B,25942,3/11/2000,344,745,725,98.5,PROPULSION,CZ-4 FINAL STAGE,TRUE,PROPULSION SYSTEM FAILURE
TES R/B,26960,12/19/2001,372,675,550,97.9,PROPULSION,PSLV FINAL STAGE,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 2392 ULLAGE MOTOR,27474,6/1/2005,61,835,255,63.7,PROPULSION,PROTON-K BLOCK DM SOZ,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 1703 R/B,16263,5/4/2006,50,640,610,82.5,PROPULSION,TSYKLON THIRD STAGE,TRUE,PROPULSION SYSTEM FAILURE
TELKOM 3/ EXPRESS MD2 BRIZ-M R/B,38746,10/16/2012,113,5010,265,49.9,PROPULSION,PROTON-K BRIZ-M STAGE,TRUE,PROPULSION SYSTEM FAILURE
CASSIOPE R/B,39266,9/29/2013,16,1490,320,81,PROPULSION,FALCON 9 SECOND STAGE,TRUE,PROPULSION SYSTEM FAILURE
ASTRO H (HITOMI),41337,3/26/2016,13,578,563,31,PROPULSION,likely structural failure mechanism,TRUE,PROPULSION SYSTEM FAILURE
COSMOS 61-63 R/B,1270,3/15/1965,147,1825,260,56.1,UNKNOWN,COSMOS SECOND STAGE,TRUE,UNKNOWN CAUSE
METEOR 1-1 R/B,3836,3/28/1969,37,850,460,81.2,UNKNOWN,VOSTOK FINAL STAGE,TRUE,UNKNOWN CAUSE
OPS 7613 R/B,4159,10/4/1969,261,940,905,70,UNKNOWN,AGENA D STAGE,TRUE,UNKNOWN CAUSE
NIMBUS 4 R/B,4367,10/17/1970,441,1085,1065,99.9,UNKNOWN,AGENA D STAGE,TRUE,UNKNOWN CAUSE
COSMOS 699,7587,4/17/1975,50,445,425,65,UNKNOWN,COSMOS 699 CLASS,TRUE,UNKNOWN CAUSE
