CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"64622990","2020-12-20 16:06:48.000000","Y","2020-12-20T17:38:49.018000","207","0.0002233263","25320","IRIDIUM 71","PAYLOAD","LARGE","5.00","38232","IRIDIUM 33 DEB","DEBRIS","SMALL","1.00"
"64623192","2020-12-20 16:06:45.000000","Y","2020-12-21T09:21:11.877000","52","0.0003195879","29199","METEOR 2-6 DEB","DEBRIS","SMALL","1.00","41668","NOAA 16 DEB","DEBRIS","SMALL","1.00"
"64623201","2020-12-20 16:06:44.000000","Y","2020-12-21T02:05:57.793000","26","0.0003270874","30164","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","30602","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64623205","2020-12-20 16:06:44.000000","Y","2020-12-21T02:05:57.793000","26","0.0003270874","30602","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","30164","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64623206","2020-12-20 16:06:45.000000","Y","2020-12-21T01:20:13.910000","56","0.0004002121","30758","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","36200","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64623207","2020-12-20 16:06:44.000000","Y","2020-12-21T08:05:41.524000","30","0.0008860814","30765","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","38299","CZ-2D DEB","DEBRIS","SMALL","1.00"
"64623300","2020-12-20 16:06:45.000000","Y","2020-12-21T15:46:43.404000","48","0.0004835408","31620","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","38533","METEOR 1-27 DEB","DEBRIS","SMALL","1.00"
"64623356","2020-12-20 16:06:44.000000","Y","2020-12-21T01:16:33.161000","28","0.0001194924","34997","COSMOS 2251 DEB","DEBRIS","SMALL","1.00","4912","THORAD AGENA D DEB","DEBRIS","SMALL","1.00"
"64623378","2020-12-20 16:06:45.000000","Y","2020-12-21T01:20:13.910000","56","0.0004002121","36200","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","30758","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64623490","2020-12-20 16:06:44.000000","Y","2020-12-21T08:05:41.524000","30","0.0008860814","38299","CZ-2D DEB","DEBRIS","SMALL","1.00","30765","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64623492","2020-12-20 16:06:45.000000","Y","2020-12-21T15:46:43.404000","48","0.0004835408","38533","METEOR 1-27 DEB","DEBRIS","SMALL","1.00","31620","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64623807","2020-12-20 16:06:45.000000","Y","2020-12-21T09:21:11.877000","52","0.0003195879","41668","NOAA 16 DEB","DEBRIS","SMALL","1.00","29199","METEOR 2-6 DEB","DEBRIS","SMALL","1.00"
"64628115","2020-12-20 17:04:40.000000","Y","2020-12-23T16:36:44.038000","4880","","8822","LAGEOS 1 AKM","ROCKET BODY","LARGE","0.00","33384","SL-12 R/B(AUX MOTOR)","ROCKET BODY","MEDIUM","0.00"
"64628670","2020-12-20 17:02:20.000000","Y","2020-12-23T10:57:39.309000","4003","","23175","INTELSAT 2 (PAS 2)","PAYLOAD","LARGE","0.00","27820","AMC-9 (GE-12)","PAYLOAD","LARGE","0.00"
"64629482","2020-12-20 17:02:20.000000","Y","2020-12-23T10:57:39.309000","4003","","27820","AMC-9 (GE-12)","PAYLOAD","LARGE","0.00","23175","INTELSAT 2 (PAS 2)","PAYLOAD","LARGE","0.00"
"64630627","2020-12-20 17:04:41.000000","Y","2020-12-23T16:36:44.038000","4880","","33384","SL-12 R/B(AUX MOTOR)","ROCKET BODY","MEDIUM","0.00","8822","LAGEOS 1 AKM","ROCKET BODY","LARGE","0.00"
"64631719","2020-12-20 17:03:30.000000","Y","2020-12-22T15:11:55.382000","4601","","37778","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00","37934","BREEZE-M R/B","ROCKET BODY","LARGE","0.00"
"64631747","2020-12-20 17:03:31.000000","Y","2020-12-22T15:11:55.382000","4601","","37934","BREEZE-M R/B","ROCKET BODY","LARGE","0.00","37778","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00"
"64696540","2020-12-21 00:45:18.000000","Y","2020-12-22T19:37:21.721000","97","0.0140761","2847","TIMATION 1","PAYLOAD","MEDIUM","5.00","82873","UNKNOWN","UNKNOWN","","3.00"
"64696653","2020-12-21 00:42:38.000000","Y","2020-12-21T01:16:33.163000","26","0.0001418515","4912","THORAD AGENA D DEB","DEBRIS","SMALL","1.00","34997","COSMOS 2251 DEB","DEBRIS","SMALL","1.00"
"64696724","2020-12-21 00:50:17.000000","Y","2020-12-23T16:36:44.028000","4888","","8822","LAGEOS 1 AKM","ROCKET BODY","LARGE","0.00","33384","SL-12 R/B(AUX MOTOR)","ROCKET BODY","MEDIUM","0.00"
"64696834","2020-12-21 00:42:19.000000","Y","2020-12-22T20:53:32.399000","116","0.002855915","13148","COSMOS 1354","PAYLOAD","LARGE","5.00","19039","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"64696984","2020-12-21 00:43:32.000000","Y","2020-12-22T15:32:39.096000","206","0.0001995366","15077","COSMOS 1577","PAYLOAD","LARGE","5.00","45293","SL-14 DEB","DEBRIS","SMALL","1.00"
"64697154","2020-12-21 00:42:17.000000","Y","2020-12-22T20:53:32.399000","116","0.002855915","19039","SL-8 R/B","ROCKET BODY","LARGE","3.00","13148","COSMOS 1354","PAYLOAD","LARGE","5.00"
"64697346","2020-12-21 00:42:35.000000","Y","2020-12-23T23:11:33.038000","95","0.001370283","21263","NOAA 12","PAYLOAD","LARGE","5.00","33636","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64697434","2020-12-21 00:42:29.000000","Y","2020-12-23T18:13:19.142000","383","0.0005850386","22828","KITSAT B","PAYLOAD","MEDIUM","5.00","30815","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
