SATELLITE NAME,INTERNATIONAL DESIGNATOR,US SATELLITE NUMBER,LAUNCH DATE,BREAKUP DATE,DEBRIS CATALOGED,DEBRIS ON-ORBIT,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,year_LAUNCH,year_BREAKUP,,,,,,,,
COSMOS 1603 ULLAGE MOTOR,1984-106F,15338,28-Sep-84,5-Sep-92,23,2,845,835,66.6,PROPULSION,PROTON-K BLOCK DM SOZ,1984,1992,,,,,,,,
SPACENET 2/MARECS B2 R/B,1984-114C,15388,10-Nov-84,20-Nov-84,3,2,35960,325,7,PROPULSION,ARIANE 3 FINAL STAGE,1984,1984,,,,,,,,
COSMOS 1650-52 ULLAGE MOTOR,1985-037G,15714,17-May-85,29-Nov-98,4,2,18620,320,52,PROPULSION,PROTON-K BLOCK DM SOZ,1985,1998,,,,,,,,
COSMOS 1646,1985-030A,15653,18-Apr-85,20-Nov-87,24,0,410,385,65,UNKNOWN,COSMOS 699 CLASS,1985,1987,,,,,,,,
COSMOS 1656 ULLAGE MOTOR,1985-042E,15773,30-May-85,5-Jan-88,6,6,860,810,66.6,PROPULSION,PROTON-K BLOCK DM SOZ,1985,1988,,,,,,,,
COSMOS 1654,1985-039A,15734,23-May-85,21-Jun-85,18,0,300,185,64.9,DELIBERATE,SELF-DESTRUCT,1985,1985,,,,,,,,
COSMOS 1691 (1695),1985-094B,16139,9-Oct-85,22-Nov-85,21,18,1415,1410,82.6,BATTERY,,1985,1985,,,,,,,,
COSMOS 1703 R/B,1985-108B,16263,22-Nov-85,4-May-06,50,2,640,610,82.5,PROPULSION,TSYKLON THIRD STAGE,1985,2006,,,,,,,,
COSMOS 1710-12 ULLAGE MOTOR,1985-118L,16446,24-Dec-85,29-Dec-91,17,10,18885,655,65.3,PROPULSION,PROTON-K BLOCK DM SOZ,1985,1991,,,,,,,,
COSMOS 1714 R/B,1985-121F,16439,28-Dec-85,28-Dec-85,2,0,830,165,71,PROPULSION,ZENIT SECOND STAGE,1985,1985,,,,,,,,
SPOT 1 R/B,1986-019C,16615,22-Feb-86,13-Nov-86,498,31,835,805,98.7,PROPULSION,ARIANE 1 FINAL STAGE,1986,1986,,,,,,,,
COSMOS 1769,1986-059A,16895,4-Aug-86,21-Sep-87,4,0,445,310,65,UNKNOWN,COSMOS 699 CLASS,1986,1987,,,,,,,,
USA 19,1986-069A,16937,5-Sep-86,5-Sep-86,13,0,745,210,39.1,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,1986,1986,,,,,,,,
USA 19 R/B,1986-069B,16938,5-Sep-86,5-Sep-86,5,0,610,220,22.8,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,1986,1986,,,,,,,,
